Hour of First Occurrence Date,Is Crime
"January 29, 2017 at 8 AM",3
"January 29, 2017 at 9 AM",5
"January 29, 2017 at 10 AM",6
"January 29, 2017 at 11 AM",6
"January 29, 2017 at 12 PM",7
"January 29, 2017 at 1 PM",1
"January 29, 2017 at 2 PM",4
"January 29, 2017 at 3 PM",14
"January 29, 2017 at 4 PM",5
"January 29, 2017 at 5 PM",14
"January 29, 2017 at 6 PM",6
"January 29, 2017 at 7 PM",16
"January 29, 2017 at 8 PM",13
"January 29, 2017 at 9 PM",10
"January 29, 2017 at 10 PM",8
"January 29, 2017 at 11 PM",6
"January 30, 2017 at 12 AM",21
"January 30, 2017 at 1 AM",4
"January 30, 2017 at 2 AM",4
"January 30, 2017 at 3 AM",6
"January 30, 2017 at 4 AM",4
"January 30, 2017 at 5 AM",3
"January 30, 2017 at 6 AM",5
"January 30, 2017 at 7 AM",4
"January 30, 2017 at 8 AM",7
"January 30, 2017 at 9 AM",7
"January 30, 2017 at 10 AM",5
"January 30, 2017 at 11 AM",11
"January 30, 2017 at 12 PM",13
"January 30, 2017 at 1 PM",14
"January 30, 2017 at 2 PM",5
"January 30, 2017 at 3 PM",15
"January 30, 2017 at 4 PM",8
"January 30, 2017 at 5 PM",12
"January 30, 2017 at 6 PM",6
"January 30, 2017 at 7 PM",11
"January 30, 2017 at 8 PM",14
"January 30, 2017 at 9 PM",6
"January 30, 2017 at 10 PM",13
"January 30, 2017 at 11 PM",7
"January 31, 2017 at 12 AM",12
"January 31, 2017 at 1 AM",8
"January 31, 2017 at 2 AM",5
"January 31, 2017 at 3 AM",5
"January 31, 2017 at 4 AM",4
"January 31, 2017 at 5 AM",3
"January 31, 2017 at 6 AM",3
"January 31, 2017 at 7 AM",6
"January 31, 2017 at 8 AM",13
"January 31, 2017 at 9 AM",8
"January 31, 2017 at 10 AM",11
"January 31, 2017 at 11 AM",7
"January 31, 2017 at 12 PM",15
"January 31, 2017 at 1 PM",7
"January 31, 2017 at 2 PM",9
"January 31, 2017 at 3 PM",11
"January 31, 2017 at 4 PM",8
"January 31, 2017 at 5 PM",11
"January 31, 2017 at 6 PM",10
"January 31, 2017 at 7 PM",18
"January 31, 2017 at 8 PM",11
"January 31, 2017 at 9 PM",8
"January 31, 2017 at 10 PM",6
"January 31, 2017 at 11 PM",5
"February 1, 2017 at 12 AM",13
"February 1, 2017 at 1 AM",7
"February 1, 2017 at 2 AM",4
"February 1, 2017 at 3 AM",2
"February 1, 2017 at 4 AM",2
"February 1, 2017 at 5 AM",6
"February 1, 2017 at 6 AM",1
"February 1, 2017 at 7 AM",8
"February 1, 2017 at 8 AM",12
"February 1, 2017 at 9 AM",10
"February 1, 2017 at 10 AM",7
"February 1, 2017 at 11 AM",2
"February 1, 2017 at 12 PM",12
"February 1, 2017 at 1 PM",20
"February 1, 2017 at 2 PM",9
"February 1, 2017 at 3 PM",4
"February 1, 2017 at 4 PM",10
"February 1, 2017 at 5 PM",11
"February 1, 2017 at 6 PM",9
"February 1, 2017 at 7 PM",5
"February 1, 2017 at 8 PM",3
"February 1, 2017 at 9 PM",15
"February 1, 2017 at 10 PM",6
"February 1, 2017 at 11 PM",4
"February 2, 2017 at 12 AM",7
"February 2, 2017 at 1 AM",4
"February 2, 2017 at 2 AM",6
"February 2, 2017 at 4 AM",1
"February 2, 2017 at 6 AM",5
"February 2, 2017 at 7 AM",3
"February 2, 2017 at 8 AM",10
"February 2, 2017 at 9 AM",4
"February 2, 2017 at 10 AM",3
"February 2, 2017 at 11 AM",11
"February 2, 2017 at 12 PM",9
"February 2, 2017 at 1 PM",10
"February 2, 2017 at 2 PM",4
"February 2, 2017 at 3 PM",3
"February 2, 2017 at 4 PM",9
"February 2, 2017 at 5 PM",8
"February 2, 2017 at 6 PM",4
"February 2, 2017 at 7 PM",4
"February 2, 2017 at 8 PM",7
"February 2, 2017 at 9 PM",8
"February 2, 2017 at 10 PM",6
"February 2, 2017 at 11 PM",11
"February 3, 2017 at 12 AM",6
"February 3, 2017 at 1 AM",6
"February 3, 2017 at 2 AM",1
"February 3, 2017 at 3 AM",1
"February 3, 2017 at 4 AM",6
"February 3, 2017 at 5 AM",2
"February 3, 2017 at 6 AM",6
"February 3, 2017 at 7 AM",3
"February 3, 2017 at 8 AM",9
"February 3, 2017 at 9 AM",10
"February 3, 2017 at 10 AM",5
"February 3, 2017 at 11 AM",4
"February 3, 2017 at 12 PM",6
"February 3, 2017 at 1 PM",5
"February 3, 2017 at 2 PM",6
"February 3, 2017 at 3 PM",6
"February 3, 2017 at 4 PM",11
"February 3, 2017 at 5 PM",13
"February 3, 2017 at 6 PM",9
"February 3, 2017 at 7 PM",9
