ds,y
4/8/2019,190
4/9/2019,172
4/10/2019,142
4/11/2019,138
4/12/2019,161
4/13/2019,112
4/14/2019,157
4/15/2019,193
4/16/2019,166
4/17/2019,171
4/18/2019,187
4/19/2019,161
4/20/2019,194
4/21/2019,140
4/22/2019,154
4/23/2019,174
4/24/2019,225
4/25/2019,164
4/26/2019,187
4/27/2019,163
4/28/2019,149
4/29/2019,134
4/30/2019,161
5/1/2019,210
5/2/2019,152
5/3/2019,190
5/4/2019,151
5/5/2019,182
5/6/2019,160
5/7/2019,166
5/8/2019,156
5/9/2019,162
5/10/2019,183
5/11/2019,146
5/12/2019,122
5/13/2019,156
5/14/2019,186
5/15/2019,177
5/16/2019,189
5/17/2019,193
5/18/2019,182
5/19/2019,138
5/20/2019,152
5/21/2019,152
5/22/2019,183
5/23/2019,178
5/24/2019,223
5/25/2019,148
5/26/2019,169
5/27/2019,170
5/28/2019,159
5/29/2019,186
5/30/2019,193
5/31/2019,166
6/1/2019,203
6/2/2019,192
6/3/2019,173
6/4/2019,213
6/5/2019,202
6/6/2019,197
6/7/2019,182
6/8/2019,167
6/9/2019,133
6/10/2019,173
6/11/2019,214
6/12/2019,184
6/13/2019,188
6/14/2019,203
6/15/2019,201
6/16/2019,161
6/17/2019,168
6/18/2019,173
6/19/2019,201
6/20/2019,188
6/21/2019,208
6/22/2019,160
6/23/2019,177
6/24/2019,182
6/25/2019,187
6/26/2019,211
6/27/2019,190
6/28/2019,182
6/29/2019,197
6/30/2019,180
7/1/2019,230
7/2/2019,212
7/3/2019,210
7/4/2019,190
7/5/2019,189
7/6/2019,171
7/7/2019,189
7/8/2019,200
7/9/2019,153
7/10/2019,231
7/11/2019,186
7/12/2019,189
7/13/2019,159
7/14/2019,176
7/15/2019,163
7/16/2019,198
7/17/2019,194
7/18/2019,182
7/19/2019,208
7/20/2019,203
7/21/2019,178
7/22/2019,197
7/23/2019,177
7/24/2019,198
7/25/2019,221
7/26/2019,196
7/27/2019,186
7/28/2019,172
7/29/2019,179
7/30/2019,201
7/31/2019,200
8/1/2019,257
8/2/2019,166
8/3/2019,192
8/4/2019,184
8/5/2019,165
8/6/2019,190
8/7/2019,176
8/8/2019,238
8/9/2019,191
8/10/2019,184
8/11/2019,194
8/12/2019,185
8/13/2019,184
8/14/2019,188
8/15/2019,214
8/16/2019,208
8/17/2019,210
8/18/2019,190
8/19/2019,207
8/20/2019,193
8/21/2019,235
8/22/2019,185
8/23/2019,191
8/24/2019,205
8/25/2019,153
8/26/2019,197
8/27/2019,205
8/28/2019,185
8/29/2019,204
8/30/2019,211
8/31/2019,201
9/1/2019,223
9/2/2019,204
9/3/2019,185
9/4/2019,173
9/5/2019,212
9/6/2019,192
9/7/2019,180
9/8/2019,174
9/9/2019,192
9/10/2019,176
9/11/2019,201
9/12/2019,182
9/13/2019,194
9/14/2019,173
9/15/2019,160
9/16/2019,196
9/17/2019,176
9/18/2019,190
9/19/2019,187
9/20/2019,182
9/21/2019,186
9/22/2019,163
9/23/2019,198
9/24/2019,181
9/25/2019,184
9/26/2019,187
9/27/2019,199
9/28/2019,174
9/29/2019,197
9/30/2019,178
10/1/2019,204
10/2/2019,163
10/3/2019,179
10/4/2019,209
10/5/2019,175
10/6/2019,164
10/7/2019,181
10/8/2019,159
10/9/2019,160
10/10/2019,134
10/11/2019,170
10/12/2019,193
10/13/2019,170
10/14/2019,171
10/15/2019,194
10/16/2019,198
10/17/2019,204
10/18/2019,165
10/19/2019,147
10/20/2019,152
10/21/2019,129
10/22/2019,169
10/23/2019,179
10/24/2019,175
10/25/2019,182
10/26/2019,143
10/27/2019,138
10/28/2019,151
10/29/2019,116
10/30/2019,133
10/31/2019,165
11/1/2019,221
11/2/2019,157
11/3/2019,203
11/4/2019,167
11/5/2019,164
11/6/2019,186
11/7/2019,168
11/8/2019,184
11/9/2019,174
11/10/2019,152
11/11/2019,154
11/12/2019,169
11/13/2019,169
11/14/2019,193
11/15/2019,203
11/16/2019,190
11/17/2019,163
11/18/2019,193
11/19/2019,179
11/20/2019,198
11/21/2019,175
11/22/2019,192
11/23/2019,166
11/24/2019,159
11/25/2019,162
11/26/2019,100
11/27/2019,130
11/28/2019,98
11/29/2019,160
11/30/2019,129
12/1/2019,175
12/2/2019,164
12/3/2019,155
12/4/2019,178
12/5/2019,187
12/6/2019,175
12/7/2019,152
12/8/2019,148
12/9/2019,166
12/10/2019,177
12/11/2019,193
12/12/2019,184
12/13/2019,163
12/14/2019,152
12/15/2019,160
